ZFIN ID	SO ID	Symbol	NCBI Gene ID	
ZDB-GENE-001229-2	SO:0001217	alas1	64608
ZDB-GENE-010102-1	SO:0001217	dcn	64698
ZDB-GENE-010108-1	SO:0001217	vox	64807
ZDB-GENE-010108-2	SO:0001217	vent	64810
ZDB-GENE-010110-1	SO:0001217	hsd17b8	64815
ZDB-GENE-010110-3	SO:0001217	daxx	561006
ZDB-GENE-010110-4	SO:0001217	zbtb22b	64809
ZDB-GENE-010111-1	SO:0001217	sox19b	64812
ZDB-GENE-010112-2	SO:0001217	mhc2dbb	767810
ZDB-GENE-010116-10	SO:0001217	mhc1ufa	64886
ZDB-GENE-010116-8	SO:0001217	mhc1uda	64884
ZDB-GENE-010116-9	SO:0001217	mhc1uea	64885
ZDB-GENE-010122-1	SO:0001217	fgf8b	65089
ZDB-GENE-010125-1	SO:0001217	oprm1	65088
ZDB-GENE-010126-1	SO:0001217	ntrk2a	65090
ZDB-GENE-010126-2	SO:0001217	ntrk2b	570240
ZDB-GENE-010126-3	SO:0001217	ntrk3a	568668
ZDB-GENE-010126-4	SO:0001217	ntrk3b	798577
ZDB-GENE-010129-1	SO:0001217	klf17	65238
ZDB-GENE-010130-1	SO:0001217	ctbp1	65229
ZDB-GENE-010130-2	SO:0001217	ctbp2a	65230
ZDB-GENE-010131-1	SO:0001217	rgl2	65227
ZDB-GENE-010131-2	SO:0001217	cdk5	65234
ZDB-GENE-010131-3	SO:0001217	rpa2	65226
ZDB-GENE-010131-6	SO:0001217	mdkb	65231
ZDB-GENE-010131-7	SO:0001217	prss1	65223
ZDB-GENE-010131-8	SO:0001217	ctsd	65225
ZDB-GENE-010201-1	SO:0001217	six4b	65232
ZDB-GENE-010201-2	SO:0001217	six4a	65233
ZDB-GENE-010201-3	SO:0001217	six5	65235
ZDB-GENE-010202-1	SO:0001217	mapk8b	65236
ZDB-GENE-010202-2	SO:0001217	mapk14a	65237
ZDB-GENE-010202-3	SO:0001217	map2k6	65239
ZDB-GENE-010219-1	SO:0001217	gcga	494052
ZDB-GENE-010219-2	SO:0001217	sst2	79186
ZDB-GENE-010226-1	SO:0001217	gdnfa	79379
ZDB-GENE-010226-2	SO:0001217	gfra1a	79376
ZDB-GENE-010226-3	SO:0001217	gfra1b	79377
ZDB-GENE-010302-1	SO:0001217	foxc1a	100148408
ZDB-GENE-010302-2	SO:0001217	foxc1b	79375
ZDB-GENE-010302-3	SO:0001217	agxtb	79378
ZDB-GENE-010306-1	SO:0001217	cyp11a1.1	80374
ZDB-GENE-010306-3	SO:0001217	slit2	80353
ZDB-GENE-010306-4	SO:0001217	slit3	80354
ZDB-GENE-010308-1	SO:0001217	or30by1	554781
ZDB-GENE-010308-10	SO:0001217	or42c5	80362
